Category,Brand,Product,Price_USD,EcoScore,Carbon_Intensity_gCO2eq,Packaging_Type,Main_Ingredients
Shampoo,TrueBloom,TrueBloom Ultra Shampoo,3.71,67,193.5,Aluminum Tube,"Lactic Acid, Cocamidopropyl Betaine, Charcoal, Beeswax, Titanium Dioxide"
Shampoo,EcoNectar,EcoNectar Comfort Shampoo,7.09,59,185.6,Plastic Bottle,"Titanium Dioxide, Sodium Chloride, Vitamin E (Tocopherol), Kaolin Clay, Hyaluronic Acid"
Shampoo,OceanMist,OceanMist Essentials Shampoo,8.51,50,347.6,Aluminum Tube,"Vitamin E (Tocopherol), Hyaluronic Acid, Coconut Oil, Citric Acid, Fragrance"
Shampoo,NovaDerm,NovaDerm Renew Shampoo,4.37,74,149.0,Pump Bottle,"Phenoxyethanol, Citric Acid, Tea Tree Oil, Glycerin, Lactic Acid"
Shampoo,ClearRise,ClearRise Balance Shampoo,4.56,74,143.6,Paper Box,"Chamomile Extract, Kaolin Clay, Phenoxyethanol, Beeswax, Olive Oil"
Shampoo,SilkRoot,SilkRoot Comfort Shampoo,5.13,54,133.7,Glass Jar,"Sorbitol, Aloe Vera Extract, Sodium Laureth Sulfate, Olive Oil, Sodium Benzoate"
Shampoo,MiraSkin,MiraSkin Ultra Shampoo,6.73,79,310.7,Pump Bottle,"Dimethicone, Shea Butter, Sodium Chloride, Charcoal, Citric Acid"
Shampoo,PurelyYou,PurelyYou Ultra Shampoo,8.68,90,338.7,Aluminum Tube,"Niacinamide, Panthenol (Pro-Vitamin B5), Citric Acid, Cetyl Alcohol, Kaolin Clay"
Shampoo,PurelyYou,PurelyYou Balance Shampoo,5.37,62,188.7,Plastic Bottle,"Tea Tree Oil, Coconut Oil, Panthenol (Pro-Vitamin B5), Citric Acid, Sodium Laureth Sulfate"
Shampoo,NovaDerm,NovaDerm Comfort Shampoo,10.95,70,183.8,Refill Pouch,"Panthenol (Pro-Vitamin B5), Beeswax, Cetyl Alcohol, Kaolin Clay, Niacinamide"
Conditioner,CleanWave,CleanWave Fresh Conditioner,4.69,85,281.7,Aerosol Can,"Beeswax, Potassium Sorbate, Panthenol (Pro-Vitamin B5), Shea Butter, Sodium Benzoate"
Conditioner,CleanWave,CleanWave Balance Conditioner,7.69,53,378.3,Aluminum Tube,"Kaolin Clay, Dimethicone, Tea Tree Oil, Charcoal, Hyaluronic Acid"
Conditioner,KindlyMade,KindlyMade Ultra Conditioner,6.77,94,195.4,Plastic Bottle,"Charcoal, Lactic Acid, Cocamidopropyl Betaine, Beeswax, Titanium Dioxide"
Conditioner,Nurtura,Nurtura Fresh Conditioner,10.03,71,153.5,Aerosol Can,"Dimethicone, Niacinamide, Water (Aqua), Polyquaternium-10, Lactic Acid"
Conditioner,SoftHaven,SoftHaven Fresh Conditioner,11.76,61,272.3,Recycled Plastic Bottle,"Olive Oil, Kaolin Clay, Aloe Vera Extract, Chamomile Extract, Zinc Oxide"
Conditioner,KindlyMade,KindlyMade Pure Conditioner,4.8,90,406.0,Plastic Bottle,"Phenoxyethanol, Coconut Oil, Salicylic Acid, Water (Aqua), Cocamidopropyl Betaine"
Conditioner,CleanCraft,CleanCraft Renew Conditioner,10.97,69,191.8,Glass Jar,"Beeswax, Potassium Sorbate, Polyquaternium-10, Sodium Laureth Sulfate, Lactic Acid"
Conditioner,Sage & Sun,Sage & Sun Ultra Conditioner,11.81,84,349.8,Aluminum Tube,"Charcoal, Salicylic Acid, Polyquaternium-10, Titanium Dioxide, Dimethicone"
Conditioner,TerraKind,TerraKind Balance Conditioner,10.92,73,398.7,Glass Jar,"Vitamin E (Tocopherol), Aloe Vera Extract, Panthenol (Pro-Vitamin B5), Charcoal, Kaolin Clay"
Conditioner,SilkRoot,SilkRoot Essentials Conditioner,11.15,78,156.3,Glass Jar,"Sodium Laureth Sulfate, Coconut Oil, Water (Aqua), Potassium Sorbate, Titanium Dioxide"
Soap,OceanMist,OceanMist Comfort Soap,5.37,54,332.4,Plastic Bottle,"Sodium Benzoate, Sodium Laureth Sulfate, Beeswax, Glycerin, Olive Oil"
Soap,LumaCare,LumaCare Ultra Soap,7.87,67,320.7,Glass Jar,"Titanium Dioxide, Fragrance, Lactic Acid, Cetyl Alcohol, Beeswax"
Soap,BotaniPure,BotaniPure Comfort Soap,7.52,87,177.1,Recycled Plastic Bottle,"Charcoal, Hyaluronic Acid, Shea Butter, Niacinamide, Olive Oil"
Soap,SereneLabs,SereneLabs Daily Soap,9.22,56,138.2,Pump Bottle,"Tea Tree Oil, Olive Oil, Cocamidopropyl Betaine, Sodium Benzoate, Sodium Chloride"
Soap,NovaDerm,NovaDerm Balance Soap,7.31,77,175.0,Refill Pouch,"Sodium Benzoate, Olive Oil, Cetyl Alcohol, Sodium Laureth Sulfate, Niacinamide"
Soap,VelvetLeaf,VelvetLeaf Balance Soap,4.33,84,370.8,Recycled Plastic Bottle,"Cetyl Alcohol, Sorbitol, Olive Oil, Sodium Benzoate, Dimethicone"
Soap,AquaVera,AquaVera Essentials Soap,7.59,75,390.7,Aluminum Tube,"Panthenol (Pro-Vitamin B5), Water (Aqua), Citric Acid, Cetyl Alcohol, Tea Tree Oil"
Soap,VelvetLeaf,VelvetLeaf Essentials Soap,5.92,85,318.6,Refill Pouch,"Fragrance, Sodium Chloride, Aloe Vera Extract, Polyquaternium-10, Glycerin"
Soap,BotaniPure,BotaniPure Balance Soap,4.02,62,135.0,Refill Pouch,"Zinc Oxide, Cetyl Alcohol, Olive Oil, Dimethicone, Glycerin"
Soap,EarthlyGood,EarthlyGood Ultra Soap,10.74,54,298.5,Glass Jar,"Panthenol (Pro-Vitamin B5), Cocamidopropyl Betaine, Polyquaternium-10, Beeswax, Potassium Sorbate"
Shower Gel,OceanMist,OceanMist Comfort Shower Gel,8.55,55,245.8,Pump Bottle,"Cetyl Alcohol, Citric Acid, Sodium Chloride, Charcoal, Vitamin E (Tocopherol)"
Shower Gel,LumaCare,LumaCare Pure Shower Gel,5.76,58,321.5,Paper Box,"Niacinamide, Coconut Oil, Cetyl Alcohol, Sorbitol, Sodium Laureth Sulfate"
Shower Gel,GreenLeaf,GreenLeaf Essentials Shower Gel,8.78,59,281.3,Paper Box,"Fragrance, Cetyl Alcohol, Shea Butter, Beeswax, Sodium Laureth Sulfate"
Shower Gel,SoftHaven,SoftHaven Pure Shower Gel,6.64,60,251.5,Paper Box,"Phenoxyethanol, Tea Tree Oil, Kaolin Clay, Zinc Oxide, Water (Aqua)"
Shower Gel,MellowMist,MellowMist Balance Shower Gel,6.04,56,401.7,Aluminum Tube,"Citric Acid, Cocamidopropyl Betaine, Beeswax, Lactic Acid, Titanium Dioxide"
